Job_Description,JobType
We are hiring a IT Help Desk Technician to join our platform team. The ideal candidate has 8 years of experience with Docker and CI/CD pipelines. Responsibilities include maintain server infrastructure and conduct code reviews. AWS Certified Solutions Architect certification is a plus.,Jobs – IT
Join our engineering team as a Site Reliability Engineer. We need someone experienced in SQL to handle troubleshoot and resolve network issues and provide IT support to end users. Experience with TCP/IP and monitoring tools is required.,Jobs – IT
"Looking for a skilled Network Administrator. You will be troubleshooting and maintaining computer systems, networks and servers. Experience with C# and PostgreSQL required.",Jobs – IT
Remote Cybersecurity Analyst position available. Must have hands-on experience with Python and VMware. You will provide IT support to end users and work with the DevOps team.,Jobs – IT
"Systems Administrator role: 4 years of experience with AWS required. Responsibilities include manage cloud resources and costs, develop and deploy web applications. Knowledge of PostgreSQL and containerization is a strong plus.",Jobs – IT
"We are expanding our engineering team and need a Infrastructure Engineer. Daily tasks: develop internal tools and dashboards, develop and deploy web applications, manage cloud resources and costs. Stack: Node.js, bash scripting.",Jobs – IT
"DevOps Engineer role: 4 years of experience with Kubernetes required. Responsibilities include write clean and maintainable code, monitor system performance and uptime. Knowledge of cloud services and containerization is a strong plus.",Jobs – IT
"IT Help Desk Technician role: 8 years of experience with Java required. Responsibilities include collaborate with cross-functional teams, conduct code reviews. Knowledge of REST APIs and cybersecurity best practices is a strong plus.",Jobs – IT
"TechCorp is looking for a DevOps Engineer. Key responsibilities: automate deployment pipelines, implement security best practices. Required skills: Docker, cloud services, load balancers. Competitive salary and benefits.",Jobs – IT
"Seeking a Backend Developer to design, build and maintain Java systems. You will work closely with data teams on automate deployment pipelines. Must be proficient in Windows Server. Remote-friendly position.",Jobs – IT
"Looking for a skilled Database Administrator. You will be troubleshooting and maintaining computer systems, networks and servers. Experience with Java and Windows Server required.",Jobs – IT
"Machine Learning Engineer role: 7 years of experience with Linux required. Responsibilities include configure and manage firewalls, configure and manage firewalls. Knowledge of PostgreSQL and microservices is a strong plus.",Jobs – IT
"Cybersecurity Analyst needed for a fast-growing tech company. Must have strong knowledge of SQL, MongoDB, and microservices. You will be responsible for configure and manage firewalls, implement security best practices, and maintain server infrastructure.",Jobs – IT
Remote IT Support Specialist position available. Must have hands-on experience with networking protocols and Windows Server. You will conduct code reviews and work with the infrastructure team.,Jobs – IT
We are hiring a Network Administrator to join our security team. The ideal candidate has 4 years of experience with React and REST APIs. Responsibilities include perform security audits and monitor system performance and uptime. CompTIA A+ certification is a plus.,Jobs – IT
We are hiring a Frontend Developer to join our cloud team. The ideal candidate has 3 years of experience with React and CI/CD pipelines. Responsibilities include provide IT support to end users and collaborate with cross-functional teams. Certified Ethical Hacker (CEH) certification is a plus.,Jobs – IT
"We need a Infrastructure Engineer to support our IT infrastructure. Tasks include implement security best practices, collaborate with cross-functional teams, and ensuring uptime of Kubernetes systems. Google Cloud Professional preferred.",Jobs – IT
"Apex Software is looking for a Machine Learning Engineer. Key responsibilities: monitor system performance and uptime, conduct code reviews. Required skills: C#, TCP/IP, containerization. Competitive salary and benefits.",Jobs – IT
"Data Engineer role: 5 years of experience with C# required. Responsibilities include manage cloud resources and costs, automate deployment pipelines. Knowledge of Active Directory and cybersecurity best practices is a strong plus.",Jobs – IT
"We need a Cloud Engineer to support our IT infrastructure. Tasks include conduct code reviews, troubleshoot and resolve network issues, and ensuring uptime of Node.js systems. CCNA preferred.",Jobs – IT
"We need a Cybersecurity Analyst to support our IT infrastructure. Tasks include automate deployment pipelines, design database schemas, and ensuring uptime of networking protocols systems. PMP preferred.",Jobs – IT
"Seeking a Data Engineer to design, build and maintain C# systems. You will work closely with platform teams on monitor system performance and uptime. Must be proficient in REST APIs. Remote-friendly position.",Jobs – IT
"Software Engineer needed for a fast-growing tech company. Must have strong knowledge of firewalls, TCP/IP, and Agile methodology. You will be responsible for design database schemas, collaborate with cross-functional teams, and develop internal tools and dashboards.",Jobs – IT
"We need a IT Help Desk Technician to support our IT infrastructure. Tasks include troubleshoot and resolve network issues, develop internal tools and dashboards, and ensuring uptime of Linux systems. PMP preferred.",Jobs – IT
"We need a IT Support Specialist to support our IT infrastructure. Tasks include write clean and maintainable code, develop internal tools and dashboards, and ensuring uptime of networking protocols systems. AWS Certified Solutions Architect preferred.",Jobs – IT
"QA Engineer needed for a fast-growing tech company. Must have strong knowledge of C#, VMware, and monitoring tools. You will be responsible for conduct code reviews, implement security best practices, and develop internal tools and dashboards.",Jobs – IT
"QA Engineer role: 7 years of experience with firewalls required. Responsibilities include configure and manage firewalls, write clean and maintainable code. Knowledge of VMware and containerization is a strong plus.",Jobs – IT
"IT Help Desk Technician role: 3 years of experience with React required. Responsibilities include implement security best practices, manage cloud resources and costs. Knowledge of VMware and Agile methodology is a strong plus.",Jobs – IT
"CloudSystems Inc. is looking for a Web Developer. Key responsibilities: implement security best practices, develop and deploy web applications. Required skills: Linux, PostgreSQL, load balancers. Competitive salary and benefits.",Jobs – IT
"We need a Machine Learning Engineer to support our IT infrastructure. Tasks include write clean and maintainable code, conduct code reviews, and ensuring uptime of networking protocols systems. CompTIA A+ preferred.",Jobs – IT
"We are expanding our security team and need a Site Reliability Engineer. Daily tasks: conduct code reviews, develop internal tools and dashboards, conduct code reviews. Stack: .NET, MongoDB.",Jobs – IT
Remote IT Support Specialist position available. Must have hands-on experience with firewalls and CI/CD pipelines. You will perform security audits and work with the cloud team.,Jobs – IT
"QA Engineer needed for a fast-growing tech company. Must have strong knowledge of Python, Active Directory, and monitoring tools. You will be responsible for provide IT support to end users, monitor system performance and uptime, and troubleshoot and resolve network issues.",Jobs – IT
"QA Engineer needed for a fast-growing tech company. Must have strong knowledge of React, Active Directory, and containerization. You will be responsible for write clean and maintainable code, design database schemas, and perform security audits.",Jobs – IT
"Looking for a skilled Machine Learning Engineer. You will be troubleshooting and maintaining computer systems, networks and servers. Experience with AWS and VMware required.",Jobs – IT
"Seeking a Full Stack Developer to design, build and maintain SQL systems. You will work closely with DevOps teams on provide IT support to end users. Must be proficient in PostgreSQL. Remote-friendly position.",Jobs – IT
"Seeking a Network Administrator to design, build and maintain React systems. You will work closely with security teams on provide IT support to end users. Must be proficient in Windows Server. Remote-friendly position.",Jobs – IT
"Data Engineer needed for a fast-growing tech company. Must have strong knowledge of Python, MongoDB, and monitoring tools. You will be responsible for monitor system performance and uptime, develop internal tools and dashboards, and collaborate with cross-functional teams.",Jobs – IT
"Seeking a IT Support Specialist to design, build and maintain Node.js systems. You will work closely with engineering teams on configure and manage firewalls. Must be proficient in bash scripting. Remote-friendly position.",Jobs – IT
"ByteWorks is looking for a Web Developer. Key responsibilities: monitor system performance and uptime, perform security audits. Required skills: .NET, REST APIs, monitoring tools. Competitive salary and benefits.",Jobs – IT
Remote Frontend Developer position available. Must have hands-on experience with networking protocols and cloud services. You will collaborate with cross-functional teams and work with the security team.,Jobs – IT
"We are expanding our DevOps team and need a Web Developer. Daily tasks: provide IT support to end users, manage cloud resources and costs, perform security audits. Stack: networking protocols, Active Directory.",Jobs – IT
"Seeking a Systems Administrator to design, build and maintain networking protocols systems. You will work closely with security teams on monitor system performance and uptime. Must be proficient in TCP/IP. Remote-friendly position.",Jobs – IT
"Apex Software is looking for a Cloud Engineer. Key responsibilities: manage cloud resources and costs, develop internal tools and dashboards. Required skills: .NET, MongoDB, containerization. Competitive salary and benefits.",Jobs – IT
"Software Engineer role: 3 years of experience with AWS required. Responsibilities include collaborate with cross-functional teams, design database schemas. Knowledge of PostgreSQL and cybersecurity best practices is a strong plus.",Jobs – IT
Remote IT Help Desk Technician position available. Must have hands-on experience with Python and REST APIs. You will write clean and maintainable code and work with the security team.,Jobs – IT
"We are expanding our security team and need a Database Administrator. Daily tasks: automate deployment pipelines, perform security audits, perform security audits. Stack: .NET, Active Directory.",Jobs – IT
"Looking for a skilled Data Engineer. You will be troubleshooting and maintaining computer systems, networks and servers. Experience with Azure and cloud services required.",Jobs – IT
Join our data team as a Network Administrator. We need someone experienced in React to handle configure and manage firewalls and automate deployment pipelines. Experience with cloud services and monitoring tools is required.,Jobs – IT
Join our infrastructure team as a Data Engineer. We need someone experienced in Docker to handle implement security best practices and automate deployment pipelines. Experience with MongoDB and Agile methodology is required.,Jobs – IT
We are hiring a Web Developer to join our cloud team. The ideal candidate has 7 years of experience with Linux and bash scripting. Responsibilities include maintain server infrastructure and conduct code reviews. Google Cloud Professional certification is a plus.,Jobs – IT
Remote IT Help Desk Technician position available. Must have hands-on experience with Docker and CI/CD pipelines. You will conduct code reviews and work with the security team.,Jobs – IT
"We need a IT Help Desk Technician to support our IT infrastructure. Tasks include configure and manage firewalls, provide IT support to end users, and ensuring uptime of Java systems. AWS Certified Solutions Architect preferred.",Jobs – IT
"Seeking a Web Developer to design, build and maintain SQL systems. You will work closely with DevOps teams on design database schemas. Must be proficient in networking. Remote-friendly position.",Jobs – IT
"Looking for a skilled Full Stack Developer. You will be troubleshooting and maintaining computer systems, networks and servers. Experience with Azure and PostgreSQL required.",Jobs – IT
Join our platform team as a Cloud Engineer. We need someone experienced in Docker to handle design database schemas and implement security best practices. Experience with CI/CD pipelines and load balancers is required.,Jobs – IT
We are hiring a IT Support Specialist to join our cloud team. The ideal candidate has 7 years of experience with Node.js and cloud services. Responsibilities include maintain server infrastructure and monitor system performance and uptime. CCNA certification is a plus.,Jobs – IT
"We need a Frontend Developer to support our IT infrastructure. Tasks include maintain server infrastructure, troubleshoot and resolve network issues, and ensuring uptime of Linux systems. PMP preferred.",Jobs – IT
"We are expanding our security team and need a Data Engineer. Daily tasks: implement security best practices, collaborate with cross-functional teams, manage cloud resources and costs. Stack: networking protocols, cloud services.",Jobs – IT
Remote Backend Developer position available. Must have hands-on experience with Ansible and cloud services. You will provide IT support to end users and work with the platform team.,Jobs – IT
"We are expanding our DevOps team and need a Software Engineer. Daily tasks: configure and manage firewalls, configure and manage firewalls, develop and deploy web applications. Stack: React, TCP/IP.",Jobs – IT
"Looking for a skilled Cloud Engineer. You will be troubleshooting and maintaining computer systems, networks and servers. Experience with firewalls and REST APIs required.",Jobs – IT
"Cybersecurity Analyst needed for a fast-growing tech company. Must have strong knowledge of firewalls, MongoDB, and cybersecurity best practices. You will be responsible for collaborate with cross-functional teams, conduct code reviews, and configure and manage firewalls.",Jobs – IT
Remote Backend Developer position available. Must have hands-on experience with C# and REST APIs. You will conduct code reviews and work with the cloud team.,Jobs – IT
"We need a Full Stack Developer to support our IT infrastructure. Tasks include monitor system performance and uptime, design database schemas, and ensuring uptime of .NET systems. AWS Certified Solutions Architect preferred.",Jobs – IT
"Looking for a skilled Web Developer. You will be troubleshooting and maintaining computer systems, networks and servers. Experience with networking protocols and cloud services required.",Jobs – IT
"Data Engineer needed for a fast-growing tech company. Must have strong knowledge of Ansible, REST APIs, and microservices. You will be responsible for conduct code reviews, develop internal tools and dashboards, and maintain server infrastructure.",Jobs – IT
"IT Help Desk Technician needed for a fast-growing tech company. Must have strong knowledge of React, Active Directory, and load balancers. You will be responsible for design database schemas, write clean and maintainable code, and design database schemas.",Jobs – IT
"We need a Network Administrator to support our IT infrastructure. Tasks include configure and manage firewalls, configure and manage firewalls, and ensuring uptime of Linux systems. CompTIA A+ preferred.",Jobs – IT
"Systems Administrator role: 2 years of experience with Node.js required. Responsibilities include conduct code reviews, provide IT support to end users. Knowledge of cloud services and containerization is a strong plus.",Jobs – IT
"QA Engineer needed for a fast-growing tech company. Must have strong knowledge of .NET, Windows Server, and monitoring tools. You will be responsible for configure and manage firewalls, automate deployment pipelines, and collaborate with cross-functional teams.",Jobs – IT
Join our platform team as a IT Support Specialist. We need someone experienced in SQL to handle perform security audits and implement security best practices. Experience with Active Directory and Agile methodology is required.,Jobs – IT
"We need a DevOps Engineer to support our IT infrastructure. Tasks include perform security audits, conduct code reviews, and ensuring uptime of Linux systems. PMP preferred.",Jobs – IT
"Seeking a Infrastructure Engineer to design, build and maintain Linux systems. You will work closely with security teams on develop and deploy web applications. Must be proficient in Active Directory. Remote-friendly position.",Jobs – IT
"ServerPro Solutions is looking for a Site Reliability Engineer. Key responsibilities: collaborate with cross-functional teams, perform security audits. Required skills: C#, bash scripting, monitoring tools. Competitive salary and benefits.",Jobs – IT
"Full Stack Developer role: 2 years of experience with SQL required. Responsibilities include develop internal tools and dashboards, manage cloud resources and costs. Knowledge of bash scripting and cybersecurity best practices is a strong plus.",Jobs – IT
"We need a Frontend Developer to support our IT infrastructure. Tasks include implement security best practices, manage cloud resources and costs, and ensuring uptime of Azure systems. AWS Certified Solutions Architect preferred.",Jobs – IT
"Nexus Technologies is looking for a Full Stack Developer. Key responsibilities: write clean and maintainable code, automate deployment pipelines. Required skills: .NET, Active Directory, microservices. Competitive salary and benefits.",Jobs – IT
"Cloud Engineer needed for a fast-growing tech company. Must have strong knowledge of Terraform, TCP/IP, and cybersecurity best practices. You will be responsible for write clean and maintainable code, design database schemas, and develop internal tools and dashboards.",Jobs – IT
Join our data team as a QA Engineer. We need someone experienced in networking protocols to handle troubleshoot and resolve network issues and develop internal tools and dashboards. Experience with MongoDB and cybersecurity best practices is required.,Jobs – IT
"Cloud Engineer role: 5 years of experience with .NET required. Responsibilities include monitor system performance and uptime, collaborate with cross-functional teams. Knowledge of TCP/IP and containerization is a strong plus.",Jobs – IT
"Looking for a skilled Network Administrator. You will be troubleshooting and maintaining computer systems, networks and servers. Experience with firewalls and REST APIs required.",Jobs – IT
"Looking for a skilled Software Engineer. You will be troubleshooting and maintaining computer systems, networks and servers. Experience with Terraform and MongoDB required.",Jobs – IT
"We are expanding our DevOps team and need a IT Help Desk Technician. Daily tasks: write clean and maintainable code, monitor system performance and uptime, write clean and maintainable code. Stack: SQL, TCP/IP.",Jobs – IT
"Frontend Developer needed for a fast-growing tech company. Must have strong knowledge of Java, MongoDB, and load balancers. You will be responsible for troubleshoot and resolve network issues, provide IT support to end users, and perform security audits.",Jobs – IT
"Seeking a Data Engineer to design, build and maintain Ansible systems. You will work closely with cloud teams on develop and deploy web applications. Must be proficient in Git. Remote-friendly position.",Jobs – IT
"Systems Administrator needed for a fast-growing tech company. Must have strong knowledge of Node.js, cloud services, and containerization. You will be responsible for configure and manage firewalls, maintain server infrastructure, and design database schemas.",Jobs – IT
Join our DevOps team as a Site Reliability Engineer. We need someone experienced in .NET to handle troubleshoot and resolve network issues and manage cloud resources and costs. Experience with REST APIs and load balancers is required.,Jobs – IT
"InfraNet is looking for a Systems Administrator. Key responsibilities: write clean and maintainable code, design database schemas. Required skills: .NET, REST APIs, cybersecurity best practices. Competitive salary and benefits.",Jobs – IT
"We are expanding our data team and need a IT Support Specialist. Daily tasks: monitor system performance and uptime, collaborate with cross-functional teams, maintain server infrastructure. Stack: networking protocols, cloud services.",Jobs – IT
We are hiring a Data Engineer to join our security team. The ideal candidate has 2 years of experience with Azure and PostgreSQL. Responsibilities include develop and deploy web applications and collaborate with cross-functional teams. CCNA certification is a plus.,Jobs – IT
"We are expanding our security team and need a DevOps Engineer. Daily tasks: collaborate with cross-functional teams, manage cloud resources and costs, troubleshoot and resolve network issues. Stack: Azure, VMware.",Jobs – IT
Join our security team as a QA Engineer. We need someone experienced in .NET to handle perform security audits and automate deployment pipelines. Experience with REST APIs and cybersecurity best practices is required.,Jobs – IT
We are hiring a Site Reliability Engineer to join our cloud team. The ideal candidate has 3 years of experience with Azure and VMware. Responsibilities include monitor system performance and uptime and write clean and maintainable code. Certified Ethical Hacker (CEH) certification is a plus.,Jobs – IT
We are hiring a Cybersecurity Analyst to join our infrastructure team. The ideal candidate has 3 years of experience with Kubernetes and REST APIs. Responsibilities include write clean and maintainable code and provide IT support to end users. PMP certification is a plus.,Jobs – IT
"Nexus Technologies is looking for a DevOps Engineer. Key responsibilities: develop and deploy web applications, automate deployment pipelines. Required skills: Python, MongoDB, microservices. Competitive salary and benefits.",Jobs – IT
"Seeking a Software Engineer to design, build and maintain .NET systems. You will work closely with infrastructure teams on perform security audits. Must be proficient in PostgreSQL. Remote-friendly position.",Jobs – IT
"Machine Learning Engineer needed for a fast-growing tech company. Must have strong knowledge of AWS, VMware, and load balancers. You will be responsible for configure and manage firewalls, perform security audits, and automate deployment pipelines.",Jobs – IT
Remote Infrastructure Engineer position available. Must have hands-on experience with Java and cloud services. You will automate deployment pipelines and work with the infrastructure team.,Jobs – IT
We are hiring a IT Help Desk Technician to join our DevOps team. The ideal candidate has 5 years of experience with Ansible and bash scripting. Responsibilities include design database schemas and implement security best practices. CompTIA A+ certification is a plus.,Jobs – IT
"Seeking a Cybersecurity Analyst to design, build and maintain AWS systems. You will work closely with platform teams on provide IT support to end users. Must be proficient in Git. Remote-friendly position.",Jobs – IT
"We need a Infrastructure Engineer to support our IT infrastructure. Tasks include maintain server infrastructure, conduct code reviews, and ensuring uptime of Ansible systems. Certified Ethical Hacker (CEH) preferred.",Jobs – IT
"We need a QA Engineer to support our IT infrastructure. Tasks include collaborate with cross-functional teams, implement security best practices, and ensuring uptime of C# systems. CCNA preferred.",Jobs – IT
"CloudSystems Inc. is looking for a Systems Administrator. Key responsibilities: conduct code reviews, maintain server infrastructure. Required skills: firewalls, REST APIs, Agile methodology. Competitive salary and benefits.",Jobs – IT
"ByteWorks is looking for a DevOps Engineer. Key responsibilities: collaborate with cross-functional teams, perform security audits. Required skills: C#, bash scripting, Agile methodology. Competitive salary and benefits.",Jobs – IT
We are hiring a Data Engineer to join our platform team. The ideal candidate has 4 years of experience with .NET and REST APIs. Responsibilities include automate deployment pipelines and write clean and maintainable code. Certified Ethical Hacker (CEH) certification is a plus.,Jobs – IT
Join our cloud team as a Frontend Developer. We need someone experienced in .NET to handle provide IT support to end users and write clean and maintainable code. Experience with REST APIs and containerization is required.,Jobs – IT
"We are expanding our engineering team and need a Systems Administrator. Daily tasks: develop internal tools and dashboards, perform security audits, perform security audits. Stack: React, cloud services.",Jobs – IT
"Site Reliability Engineer needed for a fast-growing tech company. Must have strong knowledge of Python, REST APIs, and cybersecurity best practices. You will be responsible for automate deployment pipelines, write clean and maintainable code, and collaborate with cross-functional teams.",Jobs – IT
"Nexus Technologies is looking for a Cloud Engineer. Key responsibilities: maintain server infrastructure, develop internal tools and dashboards. Required skills: C#, TCP/IP, monitoring tools. Competitive salary and benefits.",Jobs – IT
"We are expanding our data team and need a Full Stack Developer. Daily tasks: collaborate with cross-functional teams, design database schemas, provide IT support to end users. Stack: React, VMware.",Jobs – IT
"Looking for a skilled Network Administrator. You will be troubleshooting and maintaining computer systems, networks and servers. Experience with Azure and Windows Server required.",Jobs – IT
"Data Engineer role: 3 years of experience with Terraform required. Responsibilities include troubleshoot and resolve network issues, write clean and maintainable code. Knowledge of TCP/IP and Agile methodology is a strong plus.",Jobs – IT
"Looking for a skilled Data Engineer. You will be troubleshooting and maintaining computer systems, networks and servers. Experience with Python and VMware required.",Jobs – IT
"Web Developer role: 7 years of experience with .NET required. Responsibilities include conduct code reviews, implement security best practices. Knowledge of REST APIs and load balancers is a strong plus.",Jobs – IT
Remote Backend Developer position available. Must have hands-on experience with Ansible and TCP/IP. You will implement security best practices and work with the DevOps team.,Jobs – IT
"We need a Software Engineer to support our IT infrastructure. Tasks include maintain server infrastructure, collaborate with cross-functional teams, and ensuring uptime of networking protocols systems. AWS Certified Solutions Architect preferred.",Jobs – IT
"We need a Site Reliability Engineer to support our IT infrastructure. Tasks include perform security audits, write clean and maintainable code, and ensuring uptime of Terraform systems. PMP preferred.",Jobs – IT
"Seeking a Infrastructure Engineer to design, build and maintain Kubernetes systems. You will work closely with data teams on implement security best practices. Must be proficient in Windows Server. Remote-friendly position.",Jobs – IT
Join our infrastructure team as a Frontend Developer. We need someone experienced in Kubernetes to handle develop and deploy web applications and configure and manage firewalls. Experience with Git and monitoring tools is required.,Jobs – IT
"IT Help Desk Technician needed for a fast-growing tech company. Must have strong knowledge of networking protocols, bash scripting, and monitoring tools. You will be responsible for monitor system performance and uptime, monitor system performance and uptime, and provide IT support to end users.",Jobs – IT
"QA Engineer needed for a fast-growing tech company. Must have strong knowledge of networking protocols, bash scripting, and containerization. You will be responsible for configure and manage firewalls, manage cloud resources and costs, and provide IT support to end users.",Jobs – IT
"Backend Developer role: 5 years of experience with networking protocols required. Responsibilities include perform security audits, conduct code reviews. Knowledge of CI/CD pipelines and Agile methodology is a strong plus.",Jobs – IT
"We are expanding our security team and need a Infrastructure Engineer. Daily tasks: monitor system performance and uptime, write clean and maintainable code, perform security audits. Stack: Java, VMware.",Jobs – IT
"DevOps Engineer role: 5 years of experience with Azure required. Responsibilities include maintain server infrastructure, automate deployment pipelines. Knowledge of Windows Server and cybersecurity best practices is a strong plus.",Jobs – IT
Join our security team as a QA Engineer. We need someone experienced in Docker to handle develop internal tools and dashboards and manage cloud resources and costs. Experience with Windows Server and containerization is required.,Jobs – IT
"We are expanding our DevOps team and need a Full Stack Developer. Daily tasks: maintain server infrastructure, automate deployment pipelines, monitor system performance and uptime. Stack: C#, REST APIs.",Jobs – IT
"Looking for a skilled DevOps Engineer. You will be troubleshooting and maintaining computer systems, networks and servers. Experience with Linux and Windows Server required.",Jobs – IT
"We are expanding our cloud team and need a Backend Developer. Daily tasks: conduct code reviews, develop and deploy web applications, monitor system performance and uptime. Stack: Terraform, bash scripting.",Jobs – IT
"We need a Infrastructure Engineer to support our IT infrastructure. Tasks include write clean and maintainable code, perform security audits, and ensuring uptime of .NET systems. CompTIA A+ preferred.",Jobs – IT
Join our infrastructure team as a DevOps Engineer. We need someone experienced in Node.js to handle configure and manage firewalls and automate deployment pipelines. Experience with REST APIs and monitoring tools is required.,Jobs – IT
"Nexus Technologies is looking for a DevOps Engineer. Key responsibilities: conduct code reviews, implement security best practices. Required skills: Linux, Git, microservices. Competitive salary and benefits.",Jobs – IT
Remote Full Stack Developer position available. Must have hands-on experience with SQL and VMware. You will manage cloud resources and costs and work with the security team.,Jobs – IT
Join our infrastructure team as a Web Developer. We need someone experienced in firewalls to handle monitor system performance and uptime and provide IT support to end users. Experience with PostgreSQL and containerization is required.,Jobs – IT
"We need a Infrastructure Engineer to support our IT infrastructure. Tasks include develop and deploy web applications, conduct code reviews, and ensuring uptime of Docker systems. AWS Certified Solutions Architect preferred.",Jobs – IT
"Nexus Technologies is looking for a Web Developer. Key responsibilities: configure and manage firewalls, develop and deploy web applications. Required skills: Azure, MongoDB, Agile methodology. Competitive salary and benefits.",Jobs – IT
"We need a Backend Developer to support our IT infrastructure. Tasks include collaborate with cross-functional teams, troubleshoot and resolve network issues, and ensuring uptime of networking protocols systems. Google Cloud Professional preferred.",Jobs – IT
Join our engineering team as a Site Reliability Engineer. We need someone experienced in SQL to handle develop internal tools and dashboards and maintain server infrastructure. Experience with CI/CD pipelines and containerization is required.,Jobs – IT
"DevOps Engineer needed for a fast-growing tech company. Must have strong knowledge of firewalls, cloud services, and microservices. You will be responsible for configure and manage firewalls, implement security best practices, and design database schemas.",Jobs – IT
"Seeking a Software Engineer to design, build and maintain Linux systems. You will work closely with cloud teams on provide IT support to end users. Must be proficient in networking. Remote-friendly position.",Jobs – IT
